ID;questionId;objectType;questionText;questionHint;detailedHint;answerCount;answerOptions;navigationRules;performanceContext;displayOrder;isActive;tenant
829ca267-e84b-49d2-a85d-39890d8fdae8;R-Q1;Reports;Reporting Enhancement Required?;Check if the current standard report meets business needs. If users request new KPIs, layouts, or data sources, enhancement is likely required.;Use the SAP Fiori Apps Library to check if a standard report exists. If users request new KPIs, layouts, or data sources, enhancement is likely required.;2;["Yes", "No"];{"Yes": {"nextQuestion": "R-Q2"}, "No": {"finalAnswer": "Use Standard Reports - Level A"}};;1;TRUE;
eb473c0b-fcc8-4165-bf3c-3c170015d8d3;R-Q2;Reports;What is the S/4HANA deployment type?;Deployment type impacts available reporting capabilities;Cloud Public, Cloud Private, or On-Premise deployment significantly impacts available reporting options.;3;["Cloud Public", "Cloud Private", "On-Premise"];{"Cloud Public": {"nextQuestion": "R-Q3"}, "Cloud Private": {"nextQuestion": "R-Q3"}, "On-Premise": {"nextQuestion": "R-Q3"}};;2;TRUE;
123e4d1b-4ccf-44a4-81a2-63ad75484fec;R-Q3;Reports;What Kind of Report?;Classify the report based on its purpose: Operational (day-to-day), Managerial (trend analysis), or Analytical (predictive, dashboards).;Classify the report as Operational, Managerial, or Analytical. Refer to SAP Analytics Cloud Overview and Embedded Analytics Guide.;2;["Core Operational", "Managerial/Strategic"];{"Core Operational": {"nextQuestion": "R-Q5"}, "Managerial/Strategic": {"nextQuestion": "R-Q4"}};;3;TRUE;
fd83901d-c77b-4eda-ae0a-af1c98869107;R-Q4;Reports;Does Report Need High analytical capability or Analytical Dashboards?;If the report involves complex aggregations, predictive modeling, or interactive dashboards, answer Yes.;If the report involves predictive modeling or dashboards, consider SAP Analytics Cloud or SAP Datasphere.;2;["Yes", "No"];{"Yes": {"finalAnswer": "Report to be Built on BW System / Analytical reporting tools like SAC, ANAPLAN - Level A"}, "No": {"nextQuestion": "R-Q7"}};;4;TRUE
a4a232fb-7c03-4a66-bf8f-e5ac6ee37953;R-Q5;Reports;Is Data Completely in S4HANA?;Confirm if all required data resides within S4HANA. If external systems are involved, answer No.;Use the CDS View Browser to check if all required data resides in S4HANA.;2;["Yes", "No"];{"Yes": {"nextQuestion": "R-Q8"}, "No": {"nextQuestion": "R-Q6"}};;5;TRUE
28d2e2c3-d28a-475b-a131-90b43122d76c;R-Q6;Reports;Large Amount of Data needs to be persisted in the Cloud?;If the report spans multiple years, large volumes, or cross-system data, and needs cloud storage, answer Yes.;Consider SAP HANA Cloud or SAP BTP Data Management for high-volume, multi-year reporting.;2;["Yes", "No"];{"Yes": {"finalAnswer": "Report to be Built on Cloud / Analytical reporting tools - Level A"}, "No": {"finalAnswer": "SIDE-BY-SIDE Extensibility Using CAP or RAP. Hybrid approach - Level B"}};;6;TRUE
8b583719-385e-488a-85d7-e3a57f03aa85;R-Q7;Reports;Is Standard Report Available?;Use SAP Fiori Apps Library, Query Browser, or Embedded Analytics to check if a standard report exists.;Use SAP Fiori Apps Library, Query Browser, and Embedded Analytics to find standard reports.;2;["Yes", "No"];{"Yes": {"finalAnswer": "Utilize the standard Report - Level A"}, "No": {"nextQuestion": "R-Q9"}};;7;TRUE
54b3ceb0-decd-431b-8a5e-f703a57b946e;R-Q8;Reports;Is key user extensibility sufficient for the gaps?;Check if Custom Fields and Logic app can meet requirements without ABAP development.;Key user extensibility cannot create complex analytical reporting interfaces.;2;["Yes", "No"];{"Yes": {"finalAnswer": "IN APP EXTENSIBILITY (Key User) - Level A"}, "No": {"nextQuestion": "R-Q10"}};;8;TRUE
acadf04a-0aa3-431b-9187-0cd52bda7c5d;R-Q9;Reports;Any standard Report that provides most Required fields?;Check if a standard report covers 70-80% of the required fields.;Use Adapt UI and SAP Screen Personas to evaluate partial coverage.;2;["Yes", "No"];{"Yes": {"nextQuestion": "R-Q10"}, "No": {"nextQuestion": "R-Q11"}};;9;TRUE
17dd29a5-6d17-475d-b7b5-5abb113181ec;R-Q10;Reports;In-App Extensibility Possible for that standard report?;Use Custom Fields and Logic app or Adapt UI to check if the report can be extended without developer tools.;Use Custom Fields and Logic App and UI Adaptation to extend reports without developer tools.;2;["Yes", "No"];{"Yes": {"finalAnswer": "IN APP EXTENSIBILITY (Key User) - Level A"}, "No": {"nextQuestion": "R-Q11"}};;10;TRUE
c578aca2-cfe2-48e0-8fe0-39b41108141a;R-Q11;Reports;Is there any Standard OData or CDS Views that provide the required Report data?;Use View Browser or CDS View App to search for existing views. Check API Hub for OData services.;Use SAP API Hub and CDS View Browser to search for reusable services and views.;2;["Yes", "No"];{"Yes": {"nextQuestion": "R-Q12"}, "No": {"nextQuestion": "R-Q13"}};;11;TRUE
bfe71103-6cea-450a-a6ee-2bd8be689e50;R-Q12;Reports;Do the Standard CDS views or OData provide All of the required fields?;Compare the CDS/OData output with business requirements. If all fields are present, answer Yes.;Use SAP Business Application Studio or Eclipse ADT to inspect metadata and field coverage.;2;["Yes", "No"];{"Yes": {"finalAnswer": "IN APP or Side-by-Side - Utilize Standard CDS/OData - Level A"}, "No": {"nextQuestion": "R-Q13"}};;12;TRUE
33c6ff2b-b62e-41de-9c25-ccbe90cadc03;R-Q13;Reports;Does the report need to use SAP provided Objects heavily?;If the report logic depends on SAP-delivered CDS, BAPIs, or standard tables, answer Yes.;Use SE11 and SE80 to explore dependencies on SAP-delivered objects.;2;["Yes", "No"];{"Yes": {"nextQuestion": "R-Q14"}, "No": {"finalAnswer": "Side-by-Side Custom Report - Level B"}};;13;TRUE
9bb11d8b-66fe-48b3-ba0d-b1a20b9d9d2e;R-Q14;Reports;Can the standard Objects be utilized in In-APP extension (RAP)?;Check if the required objects are exposed via RAP BOs or can be reused in In-App Developer Extensibility.;Refer to RAP BO Reuse Guide and Developer Extensibility Guide to check reuse compatibility.;2;["Yes", "No"];{"Yes": {"finalAnswer": "IN APP or Side-by-Side Custom Report - Level A"}, "No": {"finalAnswer": "ABAP Classical Report Development - Level C"}};;14;TRUE
7f420b73-34f6-4f16-99c0-efc17d1c4054;R-Q15;Reports;What are the data volume and performance requirements?;Volume determines reporting technology and infrastructure requirements.;Low volume <10K records, Medium 10K-1M records, High >1M records.;3;["Low (<10K)", "Medium (10K-1M)", "High (>1M)"];{"Low (<10K)": {"nextQuestion": "R-Q16"}, "Medium (10K-1M)": {"nextQuestion": "R-Q16"}, "High (>1M)": {"nextQuestion": "R-Q17"}};{""volumeThresholds"": {""low"": 10000, ""medium"": 1000000, ""high"": ""above""}};15;TRUE
06fa2522-5902-4808-80cd-85d73821b24a;R-Q16;Reports;Are there regulatory or compliance requirements?;Regulatory requirements may need audit controls or compliance frameworks.;Regulatory requirements range from standard SAP authentication to industry-specific compliance.;2;["Yes - Strict", "No"];{"Yes - Strict": {"nextQuestion": "R-Q18"}, "No": {"nextQuestion": "R-Q8"}};;16;TRUE
65b072ea-caa7-48dc-a444-e4d90fa6e4b9;R-Q17;Reports;Is real-time or near real-time processing required?;Real-time requirements may need specialized data processing capabilities.;Real-time <5 sec, Near real-time <30 sec, or Batch OK.;3;["Real-time (<5 sec)", "Near Real-time (<30 sec)", "Batch OK"];{"Real-time (<5 sec)": {"finalAnswer": "Custom optimized reporting solution - Level C"}, "Near Real-time (<30 sec)": {"nextQuestion": "R-Q8"}, "Batch OK": {"nextQuestion": "R-Q8"}};;17;TRUE
07a2927f-7341-4377-8db4-010a70188e24;R-Q18;Reports;Are there budget and licensing constraints?;Budget affects technology choices between SAC, BTP, or standard embedded analytics.;SAC Licensed, BTP Available, or Standard Only.;3;["SAC Licensed", "BTP Available", "Standard Only"];{"SAC Licensed": {"finalAnswer": "SAP Analytics Cloud reporting - Level A"}, "BTP Available": {"finalAnswer": "BTP-based analytics solution - Level B"}, "Standard Only": {"finalAnswer": "Standard embedded analytics - Level A"}};;18;TRUE
b6e7d3b5-8c52-43bc-bd36-3e4937dc8baa;R-Q19;Reports;Are there cross-system integration requirements?;Cross-system reporting needs integration capabilities beyond standard S4HANA.;Yes - Multiple systems, or Single system reporting.;2;["Yes - Multiple", "Single System"];{"Yes - Multiple": {"finalAnswer": "BTP integration suite with reporting - Level B"}, "Single System": {"nextQuestion": "R-Q8"}};;19;TRUE
0d9ec87a-386b-4509-aa29-2ac9d070797c;I-Q1;Interfaces;Interface Direction to S4HANA;Determine data flow direction to understand integration architecture and security requirements.;Outbound requires data extraction patterns, inbound requires validation and processing patterns.;2;[""Outbound from S4HANA"", ""Inbound to S4HANA""];{"Outbound from S4HANA": {"nextQuestion": "I-Q2"}, "Inbound to S4HANA": {"nextQuestion": "I-Q2"}};;1;TRUE
2411fa8b-0316-4b38-8565-321435da74f8;I-Q2;Interfaces;Any restriction from 3rd Party system that Forces to select Level C/D?;Check if external system limitations (file-only, legacy protocols) force suboptimal patterns.;Third-party limitations include file-only interfaces, legacy mainframe protocols, custom proprietary formats.;2;["Yes", "No"];{"Yes": {"nextQuestion": "I-Q11"}, "No": {"nextQuestion": "I-Q3"}};;2;TRUE
e064d5e9-febe-4b79-aa27-683c9714b459;I-Q3;Interfaces;Is the Requirement Real-time or Batch communication?;Real-time requires event-driven or API patterns, batch allows file-based or scheduled processing.;Real-time integration (<5 seconds) enables Enterprise Event Enablement & REST APIs. Batch allows IDOC/file.;2;["Real-time", "Batch"];{"Real-time": {"nextQuestion": "I-Q4"}, "Batch": {"nextQuestion": "I-Q15"}};;3;TRUE
790433f8-5edf-496e-9d83-07fb75b4bf30;I-Q4;Interfaces;Are there technical limitations preventing Level A approach?;Sub-100ms response, legacy protocols, network constraints may prevent Level A.;Performance gaps in trading systems, legacy protocol integration, bandwidth limitations.;2;["Yes", "No"];{"Yes": {"nextQuestion": "I-Q9"}, "No": {"nextQuestion": "I-Q5"}};;4;TRUE
7164780b-6bd8-47ee-b82b-3eaa677ff3e4;I-Q5;Interfaces;Is business event available or can it be defined?;Business events enable Level A event-driven integration.;Business events enable Level A event-driven integration, absence requires API or custom approaches.;2;["Yes", "No"];{"Yes": {"finalAnswer": "Event-Driven Integration - Level A"}, "No": {"nextQuestion": "I-Q6"}};;5;TRUE
f95a3f17-b96d-4a23-8be6-d77d2406beb5;I-Q6;Interfaces;Are there critical functional gaps not covered by standard SAP?;Industry-specific needs may lack standard coverage.;Pharma, banking, manufacturing may have industry-specific integration needs.;2;["Yes", "No"];{"Yes": {"nextQuestion": "I-Q7"}, "No": {"nextQuestion": "I-Q8"}};;6;TRUE
